SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1909 McDougall Ave,Everett,WA,98201,449950,3,1,North Everett,1132,449950,5227,1910,7,397,,Pending,,,https://www.redfin.com/WA/Everett/1909-McDougall-Ave-98201/home/2687449,NWMLS,1900879,N,Y,47.9919157,-122.199457
PAST SALE,April-26-2019,Single Family Residential,2311 Highland Ave,Everett,WA,98201,450000,2,1,Riverside,834,450000,6098,1940,19,540,,Pending,,,https://www.redfin.com/WA/Everett/2311-Highland-Ave-98201/home/2693881,NWMLS,1886625,N,Y,47.9864026,-122.1848642
PAST SALE,March-6-2020,Single Family Residential,2916 Leonard Dr,Everett,WA,98201,450000,3,1.5,Everett,913,450000,4356,1918,166,493,,Pending,,,https://www.redfin.com/WA/Everett/2916-Leonard-Dr-98201/home/2737072,NWMLS,1850504,N,Y,47.9903287,-122.1911771
PAST SALE,November-23-2005,Single Family Residential,1501 Broadway,Everett,WA,98201,460000,5,3,North Everett,1968,460000,4356,1925,69,234,,Pending,,,https://www.redfin.com/WA/Everett/1501-Broadway-98201/home/2702745,NWMLS,1877960,N,Y,47.9974936,-122.2007716
PAST SALE,April-29-2016,Single Family Residential,3515 Friday Ave,Everett,WA,98201,475000,3,1,Rucker Hill,2532,475000,4356,1910,27,188,,Pending,,,https://www.redfin.com/WA/Everett/3515-Friday-Ave-98201/home/2693437,NWMLS,1892278,N,Y,47.9704698,-122.2149355
PAST SALE,July-19-1991,Single Family Residential,1811 Baker Ave,Everett,WA,98201,480000,2,1,North Everett,972,480000,4792,1921,9,494,,Pending,,,https://www.redfin.com/WA/Everett/1811-Baker-Ave-98201/home/2669031,NWMLS,1899493,N,Y,47.9931596,-122.195209
PAST SALE,October-15-2019,Single Family Residential,2409 Maple St,Everett,WA,98201,485000,2,1,Riverside,1832,485000,4792,1930,13,265,,Pending,,,https://www.redfin.com/WA/Everett/2409-Maple-St-98201/home/2560521,NWMLS,1898302,N,Y,47.985276,-122.1905279
MLS Listing,,Single Family Residential,2224 Chestnut St,Everett,WA,98201,495000,2,2,North Everett,1087,495000,4356,1905,6,455,,Active,,,https://www.redfin.com/WA/Everett/2224-Chestnut-St-98201/home/2560391,NWMLS,1900718,N,Y,47.9873866,-122.1882924
PAST SALE,October-13-2017,Single Family Residential,2227 Grand Ave,Everett,WA,98201,499950,2,1.5,Historic N Everett,1124,499950,4356,1910,13,445,,Pending,,,https://www.redfin.com/WA/Everett/2227-Grand-Ave-98201/home/2688927,NWMLS,1898991,N,Y,47.9875381,-122.2122978
PAST SALE,December-29-2015,Single Family Residential,2602 Maple St,Everett,WA,98201,499950,3,1,Downtown,1675,499950,5663,1930,6,298,,Pending,,,https://www.redfin.com/WA/Everett/2602-Maple-St-98201/home/2560881,NWMLS,1900046,N,Y,47.9828967,-122.1912477
PAST SALE,April-29-2003,Single Family Residential,2205 Colby Ave,Everett,WA,98201,500000,3,2,Everett,2200,500000,5227,1901,13,227,,Pending,,,https://www.redfin.com/WA/Everett/2205-Colby-Ave-98201/home/2688846,NWMLS,1898926,N,Y,47.9882427,-122.20802
MLS Listing,,Single Family Residential,1610 Lombard Ave,Everett,WA,98201,515500,3,1,North Everett,2421,515500,6098,1943,7,213,,Active,,,https://www.redfin.com/WA/Everett/1610-Lombard-Ave-98201/home/2687170,NWMLS,1902602,N,Y,47.9959388,-122.2029841
PAST SALE,,Townhouse,3441 30th Dr,Everett,WA,98201,525000,2,2.5,Everett,1410,525000,871,2018,27,372,137,Pending,,,https://www.redfin.com/WA/Everett/3441-30th-Dr-98201/home/147617249,NWMLS,1890075,N,Y,47.971696,-122.1900392
PAST SALE,March-16-2018,Multi-Family (2-4 Unit),2519 Pine St,Everett,WA,98201,540000,3,2,Everett,1818,540000,6098,1910,149,297,,Pending,,,https://www.redfin.com/WA/Everett/2519-Pine-St-98201/home/2720157,NWMLS,1857174,N,Y,47.9835613,-122.1920143
MLS Listing,,Single Family Residential,3020 Gedney St,Everett,WA,98201,549000,3,2,In Town,1363,549000,2178,1907,1,403,,Active,March-25-2022 03:00 PM,March-25-2022 06:00 PM,https://www.redfin.com/WA/Everett/3020-Gedney-St-98201/home/2686019,NWMLS,1904879,N,Y,47.9769803,-122.2183887
PAST SALE,May-22-1998,Single Family Residential,2417 Maple St,Everett,WA,98201,549950,3,2,Everett,1352,549950,5227,1925,41,407,,Pending,,,https://www.redfin.com/WA/Everett/2417-Maple-St-98201/home/2560527,NWMLS,1886990,N,Y,47.9848979,-122.1904971
PAST SALE,,Single Family Residential,2202 Summit Ave,Everett,WA,98201,550000,3,1.5,Everett,1280,550000,5663,1944,69,430,,Pending,,,https://www.redfin.com/WA/Everett/2202-Summit-Ave-98201/home/2657614,NWMLS,1876940,N,Y,47.9880901,-122.1840146
MLS Listing,,Single Family Residential,96 F Tulalip Way,Hat Island,WA,98206,550000,1,1,Hat Island,1284,550000,10454,1996,23,428,133,Active,,,https://www.redfin.com/WA/Everett/96-F-Tulalip-Way-98206/home/178650667,NWMLS,1894126,N,Y,48.0104692,-122.3139842
MLS Listing,,Single Family Residential,3926 High St,Everett,WA,98201,550000,3,2,Rucker Hill,2256,550000,10890,1906,1,244,,Active,March-24-2022 03:00 PM,March-24-2022 07:00 PM,https://www.redfin.com/WA/Everett/3926-High-St-98201/home/2748476,NWMLS,1900380,N,Y,47.9650515,-122.2126049
PAST SALE,,Single Family Residential,626 Warren Ave,Everett,WA,98201,560000,3,1.5,Rucker Hill,2544,560000,3920,1919,14,220,,Pending,,,https://www.redfin.com/WA/Everett/626-Warren-Ave-98201/home/2740710,NWMLS,1894757,N,Y,47.9745727,-122.2215343
PAST SALE,,Townhouse,3009 34th Pl,Everett,WA,98201,565000,2,2.5,Everett,1425,565000,1307,2018,27,396,137,Pending,,,https://www.redfin.com/WA/Everett/3009-34th-Pl-98201/home/145594261,NWMLS,1893144,N,Y,47.9720057,-122.1905998
PAST SALE,May-14-2018,Townhouse,3422 30th Dr,Everett,WA,98201,575000,2,2.5,Everett,1425,575000,1307,2017,27,404,137,Pending,,,https://www.redfin.com/WA/Everett/3422-30th-Dr-98201/home/145176085,NWMLS,1891187,N,Y,47.9722625,-122.1903153
PAST SALE,June-1-1977,Single Family Residential,2315 Hoyt Ave,Everett,WA,98201,575000,3,3.5,Everett,2026,575000,6098,1910,62,284,,Pending,,,https://www.redfin.com/WA/Everett/2315-Hoyt-Ave-98201/home/2688985,NWMLS,1880438,N,Y,47.9866537,-122.2095163
PAST SALE,,Single Family Residential,2018 Walnut St,Everett,WA,98201,599000,4,2.5,Historic N Everett,1890,599000,4792,1940,26,317,,Pending,,,https://www.redfin.com/WA/Everett/2018-Walnut-St-98201/home/2737089,NWMLS,1894198,N,Y,47.9901504,-122.1896824
MLS Listing,,Single Family Residential,2120 Rainier Ave,Everett,WA,98201,619000,7,3,Everett,3554,619000,6098,1915,77,174,,Active,,,https://www.redfin.com/WA/Everett/2120-Rainier-Ave-98201/home/28556625,NWMLS,1875911,N,Y,47.9890247,-122.1987823
MLS Listing,,Single Family Residential,2213 6th St,Everett,WA,98201,625000,3,2,North Everett,1400,625000,9148,1951,6,446,,Active,March-26-2022 01:00 PM,March-26-2022 04:00 PM,https://www.redfin.com/WA/Everett/2213-6th-St-98201/home/2711697,NWMLS,1900862,N,Y,48.0100041,-122.1983931
PAST SALE,March-28-2013,Single Family Residential,2308 Lombard Ave,Everett,WA,98201,635000,4,2,Everett,1628,635000,6098,1910,20,390,,Pending,,,https://www.redfin.com/WA/Everett/2308-Lombard-Ave-98201/home/2689099,NWMLS,1894204,N,Y,47.9867698,-122.2030934
PAST SALE,September-18-2001,Single Family Residential,1008 Angle Ln,Everett,WA,98201,645000,3,2,Forest Park,1478,645000,7405,1989,13,436,,Pending,,,https://www.redfin.com/WA/Everett/1008-Angle-Ln-98201/home/2700778,NWMLS,1899300,N,Y,47.9664635,-122.2164836
MLS Listing,,Multi-Family (2-4 Unit),2315 Oakes Ave,Everett,WA,98201,650000,5,2,Everett,2052,650000,6098,1910,23,317,,Active,,,https://www.redfin.com/WA/Everett/2315-Oakes-Ave-98201/home/2689085,NWMLS,1894020,N,Y,47.9865971,-122.2039199
PAST SALE,June-23-2016,Single Family Residential,1531 Hoyt Ave,Everett,WA,98201,695000,2,2,Everett,1868,695000,6098,1925,34,372,,Pending,,,https://www.redfin.com/WA/Everett/1531-Hoyt-Ave-98201/home/2686484,NWMLS,1888438,N,Y,47.996646,-122.2092564
PAST SALE,June-16-2021,Single Family Residential,3618 Oakes Ave,Everett,WA,98201,699000,3,2.5,North Everett,2234,699000,6098,1914,20,313,,Pending,,,https://www.redfin.com/WA/Everett/3618-Oakes-Ave-98201/home/2687057,NWMLS,1896782,N,Y,47.9693002,-122.2044048
PAST SALE,July-11-2007,Multi-Family (2-4 Unit),906 E Marine View Dr,Everett,WA,98201,699950,7,3.75,Everett,2400,699950,13504,1901,41,292,,Pending,,,https://www.redfin.com/WA/Everett/906-E-Marine-View-Dr-98201/home/2687755,NWMLS,1885614,N,Y,48.0051463,-122.1894047
MLS Listing,,Single Family Residential,28 A Saratoga Dr,Hat Island,WA,98206,724950,3,2,Hat Island,1881,724950,13068,2007,9,385,133,Active,,,https://www.redfin.com/WA/Everett/28-Saratoga-Dr-98206/home/12491303,NWMLS,1901115,N,Y,48.015958,-122.319112
PAST SALE,March-20-2020,Single Family Residential,1 X Beach Way,Hat Island,WA,98206,740000,3,2.5,Hat Island,3212,740000,37026,1995,159,230,100,Pending,,,https://www.redfin.com/WA/Everett/1-X-Beach-Way-98206/home/2689734,NWMLS,1851195,N,Y,48.0075814,-122.3073923
